keyword,title,price,rating,reviews,platform,position,delivery,discount
Smart Phone,Motorola Moto G 2025 Prepaid Smartphone,39.88,3.8,110.0,Walmart,1,Free next-day delivery,
Smart Phone,Samsung Galaxy A17 5G,199.99,4.4,9800.0,Best Buy,2,Free delivery by Sun,
Smart Phone,Apple Refurbished iPhone 13,56.0,4.1,1800.0,constructorcampus.org,3,,
Smart Phone,Samsung Galaxy S25 FE,13.99,4.6,124000.0,AT&T,4,Free delivery,
Smart Phone,Google Pixel 10a,424.0,4.6,1300.0,Best Buy,5,Free delivery by Sun,
Smart Phone,Unihertz Titan 2 5G Smartphone,489.99,4.8,153.0,Unihertz,6,Free delivery,
Smart Phone,Apple iPhone 17 Pro Max,1199.0,4.4,20000.0,Apple,7,Free next-day delivery,
Smart Phone,Tracfone Samsung Galaxy A16 Prepaid,49.99,4.3,26.0,Best Buy,8,Free delivery by Sun,
Smart Phone,Samsung Galaxy S26,399.99,4.7,16000.0,Cricket Wireless,9,Free delivery,
Smart Phone,Samsung Galaxy S26 Ultra,36.12,4.8,54000.0,AT&T,10,Free delivery,
Smart Phone,Apple iPhone 17,25.81,4.5,8900.0,Walmart,11,,
Smart Phone,Google Pixel 10 Pro,999.0,4.4,2300.0,Google Store,12,Free delivery,
Smart Phone,Motorola Moto G Play 2024,149.99,4.4,1100.0,Best Buy,13,Free delivery by Sun,
Smart Phone,OnePlus 15 512GB,999.99,4.5,44.0,OnePlus Official Store,14,Free delivery,
Smart Phone,Samsung Galaxy S25 FE 128GB Jetblack,149.99,4.7,3100.0,Cricket Wireless,15,Free delivery,
Smart Phone,Apple iPhone 17 Pro 256GB Cosmic Orange,1099.0,3.8,2200.0,Apple,16,Free next-day delivery,
Smart Phone,Nothing Phone 3 5G Mobile Phone,699.99,4.6,271.0,Best Buy,17,Free delivery by Sun,
Smart Phone,Phonemax Q9 mini Smartphone,238.0,5.0,1.0,Phonemax,18,Free delivery,
Smart Phone,Samsung Galaxy A15,59.88,3.8,2600.0,Walmart,19,Free delivery by Thu,
Smart Phone,Motorola Moto G Stylus 2025,29.99,1.0,1.0,Cricket Wireless,20,Free delivery,
Smart Phone,Tracfone BLU View Speed Ultra 64GB Prepaid,24.99,4.2,14.0,Best Buy,21,,
