keyword,title,price,rating,reviews,platform,delivery
office chair ergonomic,HP office chair ergonomic Model 603,36225,3.7,3241,croma,2 Days
microwave oven convection,Samsung microwave oven convection Model 524 !!!,,4.7,1294,amazon,Free Delivery
power bank fast charging,Samsung power bank fast charging Model 402,Not Available,,3070,CROMA,Free Delivery
microwave oven convection,Dell microwave oven convection Model 877,2507,4.7,3446,flipkart,
men running shoes,Dell men running shoes Model 536,2176,3.8,2031,croma,5 Days
power bank fast charging,Samsung power bank fast charging Model 562,5331,,4124,RELIANCE DIGITAL,5 Days
air fryer India,Philips air fryer India Model 259,Not Available,2.8,1761,CROMA,5 Days
office chair ergonomic,Philips office chair ergonomic Model 836,4564,3,1540,AMAZON,Free Delivery
microwave oven convection,Boat microwave oven convection Model 588,21830,4,126,croma,Free Delivery
office chair ergonomic,Puma office chair ergonomic Model 591,19233,4.6,3911,RELIANCE DIGITAL,5 Days
men running shoes,Boat men running shoes Model 859 !!!,20381,,684,AMAZON,2 Days
office chair ergonomic,Puma office chair ergonomic Model 417,8744,4.9,3832,croma,2 Days
power bank fast charging,Dell power bank fast charging Model 575,190200,4.5,4367,croma,Free Delivery
power bank fast charging,Sony power bank fast charging Model 896,5150,5,2220,croma,2 Days
air fryer India,Philips air fryer India Model 339,45304,2.7,1761,reliance digital,2 Days
men running shoes,Philips men running shoes Model 418,9160,3.7,2887,amazon,5 Days
power bank fast charging,LG power bank fast charging Model 382,10945,2.9,3032,amazon,Free Delivery
microwave oven convection,HP microwave oven convection Model 409,17931,2.9,4166,amazon,2 Days
office chair ergonomic,Puma office chair ergonomic Model 198 !!!,15160,3.2,1275,FLIPKART,2 Days
microwave oven convection,Samsung microwave oven convection Model 810,Not Available,3.3,105,CROMA,Free Delivery
air fryer India,Sony air fryer India Model 266,45361,3.1,2934,croma,5 Days
men running shoes,Puma men running shoes Model 233,Not Available,4.2,4990,FLIPKART,Free Delivery
power bank fast charging,Puma power bank fast charging Model 621 !!!,48199,,203,AMAZON,2 Days
microwave oven convection,LG microwave oven convection Model 479,,3.6,1335,amazon,5 Days
men running shoes,Nike men running shoes Model 602,22310,3.8,255,CROMA,5 Days
microwave oven convection,LG microwave oven convection Model 351,31911,4.4,2073,reliance digital,2 Days
office chair ergonomic,Nike office chair ergonomic Model 173,33852,4.4,3965,amazon,2 Days
men running shoes,HP men running shoes Model 796,16321,4.8,4474,flipkart,5 Days
power bank fast charging,Puma power bank fast charging Model 343,889,4.9,3557,RELIANCE DIGITAL,5 Days
microwave oven convection,Nike microwave oven convection Model 438,1670,3.9,1982,amazon,2 Days
office chair ergonomic,Sony office chair ergonomic Model 955,28760,3.6,2169,flipkart,2 Days
microwave oven convection,Nike microwave oven convection Model 917 !!!,4484,3,3422,reliance digital,5 Days
air fryer India,Dell air fryer India Model 250,25576,2.9,1041,flipkart,5 Days
power bank fast charging,Boat power bank fast charging Model 977,-999,3.3,2070,amazon,5 Days
microwave oven convection,Dell microwave oven convection Model 272,438510,4.5,351,RELIANCE DIGITAL,5 Days
air fryer India,LG air fryer India Model 797,10526,4.7,4373,reliance digital,2 Days
office chair ergonomic,LG office chair ergonomic Model 187,7370,4.9,324,FLIPKART,5 Days
power bank fast charging,LG power bank fast charging Model 927,5380,2.6,1069,CROMA,Free Delivery
office chair ergonomic,Boat office chair ergonomic Model 251,10118,3.7,2270,amazon,2 Days
men running shoes,Philips men running shoes Model 769,6357,3.3,255,RELIANCE DIGITAL,5 Days
power bank fast charging,Dell power bank fast charging Model 326,35283,3.8,4008,AMAZON,2 Days
men running shoes,Dell men running shoes Model 450,2830,2.9,3675,amazon,2 Days
power bank fast charging,LG power bank fast charging Model 330,28981,3.8,4349,CROMA,2 Days
office chair ergonomic,LG office chair ergonomic Model 365,42218,3,138,amazon,Free Delivery
